MariaDB [kokiri_apr23]> select distinct revision, branch from test_run where length(revision)<6 order by 2,1;
+----------+---------------------------------+
| revision | branch                          |
| 4132     | 10.0                            |
| 4134     | 10.0                            |
| 4135     | 10.0                            |
| 4138     | 10.0                            |
| 4140     | 10.0                            |
| 4141     | 10.0                            |
| 4143     | 10.0                            |
| 4144     | 10.0                            |
| 4145     | 10.0                            |
| 4146     | 10.0                            |
| 4147     | 10.0                            |
| 4148     | 10.0                            |
| 4149     | 10.0                            |
| 4151     | 10.0                            |
| 4152     | 10.0                            |
| 4153     | 10.0                            |
| 4154     | 10.0                            |
| 4155     | 10.0                            |
| 4156     | 10.0                            |
| 3676     | 10.0-bar                        |
| 3691     | 10.0-bar                        |
| 3697     | 10.0-bar                        |
| 3698     | 10.0-bar                        |
| 3699     | 10.0-bar                        |
| 3700     | 10.0-bar                        |
| 3701     | 10.0-bar                        |
| 3702     | 10.0-bar                        |
| 3703     | 10.0-bar                        |
| 3704     | 10.0-bar                        |
| 3705     | 10.0-bar                        |
| 3706     | 10.0-bar                        |
| 3707     | 10.0-bar                        |
| 3708     | 10.0-bar                        |
| 3709     | 10.0-bar                        |
| 3710     | 10.0-bar                        |
| 3711     | 10.0-bar                        |
| 3712     | 10.0-bar                        |
| 3713     | 10.0-bar                        |
| 3715     | 10.0-bar                        |
| 3716     | 10.0-bar                        |
| 3773     | 10.0-bar                        |
| 3817     | 10.0-bar                        |
| 3847     | 10.0-bar                        |
| 3866     | 10.0-bar                        |
| 3870     | 10.0-bar                        |
| 3871     | 10.0-bar                        |
| 3885     | 10.0-bar                        |
| 3427     | 10.0-base                       |
| 3428     | 10.0-base                       |
| 3429     | 10.0-base                       |
| 3430     | 10.0-base                       |
| 3431     | 10.0-base                       |
| 3432     | 10.0-base                       |
| 3433     | 10.0-base                       |
| 3434     | 10.0-base                       |
| 3435     | 10.0-base                       |
| 3436     | 10.0-base                       |
| 3438     | 10.0-base                       |
| 3439     | 10.0-base                       |
| 3440     | 10.0-base                       |
| 3441     | 10.0-base                       |
| 3442     | 10.0-base                       |
| 3443     | 10.0-base                       |
| 3444     | 10.0-base                       |
| 3445     | 10.0-base                       |
| 3446     | 10.0-base                       |
| 3447     | 10.0-base                       |
| 3448     | 10.0-base                       |
| 3449     | 10.0-base                       |
| 3451     | 10.0-base                       |
| 3452     | 10.0-base                       |
| 3454     | 10.0-base                       |
| 3455     | 10.0-base                       |
| 3456     | 10.0-base                       |
| 3457     | 10.0-base                       |
| 3458     | 10.0-base                       |
| 3460     | 10.0-base                       |
| 3461     | 10.0-base                       |
| 3462     | 10.0-base                       |
| 3463     | 10.0-base                       |
| 3464     | 10.0-base                       |
| 3465     | 10.0-base                       |
| 3466     | 10.0-base                       |
| 3467     | 10.0-base                       |
| 3468     | 10.0-base                       |
| 3469     | 10.0-base                       |
| 3470     | 10.0-base                       |
| 3471     | 10.0-base                       |
| 3472     | 10.0-base                       |
| 3473     | 10.0-base                       |
| 3474     | 10.0-base                       |
| 3475     | 10.0-base                       |
| 3480     | 10.0-base                       |
| 3482     | 10.0-base                       |
| 3484     | 10.0-base                       |
| 3485     | 10.0-base                       |
| 3486     | 10.0-base                       |
| 3487     | 10.0-base                       |
| 3488     | 10.0-base                       |
| 3489     | 10.0-base                       |
| 3490     | 10.0-base                       |
| 3491     | 10.0-base                       |
| 3492     | 10.0-base                       |
| 3493     | 10.0-base                       |
| 3494     | 10.0-base                       |
| 3495     | 10.0-base                       |
| 3496     | 10.0-base                       |
| 3497     | 10.0-base                       |
| 3498     | 10.0-base                       |
| 3499     | 10.0-base                       |
| 3500     | 10.0-base                       |
| 3501     | 10.0-base                       |
| 3502     | 10.0-base                       |
| 3503     | 10.0-base                       |
| 3505     | 10.0-base                       |
| 3506     | 10.0-base                       |
| 3507     | 10.0-base                       |
| 3508     | 10.0-base                       |
| 3509     | 10.0-base                       |
| 3510     | 10.0-base                       |
| 3593     | 10.0-base                       |
| 3596     | 10.0-base                       |
| 3597     | 10.0-base                       |
| 3599     | 10.0-base                       |
| 3600     | 10.0-base                       |
| 3601     | 10.0-base                       |
| 3602     | 10.0-base                       |
| 3603     | 10.0-base                       |
| 3604     | 10.0-base                       |
| 3605     | 10.0-base                       |
| 3606     | 10.0-base                       |
| 3607     | 10.0-base                       |
| 3608     | 10.0-base                       |
| 3609     | 10.0-base                       |
| 3610     | 10.0-base                       |
| 3611     | 10.0-base                       |
| 3612     | 10.0-base                       |
| 3613     | 10.0-base                       |
| 3615     | 10.0-base                       |
| 3616     | 10.0-base                       |
| 3617     | 10.0-base                       |
| 3618     | 10.0-base                       |
| 3619     | 10.0-base                       |
| 3620     | 10.0-base                       |
| 3621     | 10.0-base                       |
| 3622     | 10.0-base                       |
| 3623     | 10.0-base                       |
| 3624     | 10.0-base                       |
| 3625     | 10.0-base                       |
| 3626     | 10.0-base                       |
| 3627     | 10.0-base                       |
| 3628     | 10.0-base                       |
| 3629     | 10.0-base                       |
| 3630     | 10.0-base                       |
| 3631     | 10.0-base                       |
| 3632     | 10.0-base                       |
| 3633     | 10.0-base                       |
| 3634     | 10.0-base                       |
| 3635     | 10.0-base                       |
| 3636     | 10.0-base                       |
| 3637     | 10.0-base                       |
| 3638     | 10.0-base                       |
| 3639     | 10.0-base                       |
| 3640     | 10.0-base                       |
| 3641     | 10.0-base                       |
| 3642     | 10.0-base                       |
| 3643     | 10.0-base                       |
| 3644     | 10.0-base                       |
| 3645     | 10.0-base                       |
| 3647     | 10.0-base                       |
| 3650     | 10.0-base                       |
| 3651     | 10.0-base                       |
| 3660     | 10.0-base                       |
| 3661     | 10.0-base                       |
| 3662     | 10.0-base                       |
| 3663     | 10.0-base                       |
| 3664     | 10.0-base                       |
| 3665     | 10.0-base                       |
| 3666     | 10.0-base                       |
| 3667     | 10.0-base                       |
| 3669     | 10.0-base                       |
| 3670     | 10.0-base                       |
| 3671     | 10.0-base                       |
| 3672     | 10.0-base                       |
| 3673     | 10.0-base                       |
| 3674     | 10.0-base                       |
| 3675     | 10.0-base                       |
