MariaDB [kokiri_apr23]> select cast(revision as integer) rev,repository,branch,when_timestamp from changes where length(revision) < 6 group by 1;
+------+---------------------------------------------------+---------------------------------------+----------------+
| rev  | repository                                        | branch                                | when_timestamp |
|   98 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1380912923 |
|   99 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1380954654 |
|  100 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1381410855 |
|  101 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1381753074 |
|  102 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1382252885 |
|  103 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1382253288 |
|  104 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1382772079 |
|  105 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1382899091 |
|  106 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1384109640 |
|  107 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1384976250 |
|  108 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1388708384 |
|  109 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1389467372 |
|  110 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1390426268 |
|  111 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1390550523 |
|  112 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1390670196 |
|  113 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1390853642 |
|  114 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1391540963 |
|  115 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1391541633 |
|  116 | ~maria-captains/maria/10.1                        | 10.1                                  |      969458630 |
|  117 | ~maria-captains/maria/10.1                        | 10.1                                  |      969467855 |
|  118 | ~maria-captains/maria/10.1                        | 10.1                                  |      969477874 |
|  119 | ~maria-captains/maria/10.1                        | 10.1                                  |      969481791 |
|  120 | ~maria-captains/maria/10.1                        | 10.1                                  |      969492313 |
|  121 | ~maria-captains/maria/10.1                        | 10.1                                  |      969576386 |
|  122 | ~maria-captains/maria/10.1                        | 10.1                                  |      969596841 |
|  123 | ~maria-captains/maria/10.1                        | 10.1                                  |      969605407 |
|  124 | ~maria-captains/maria/10.1                        | 10.1                                  |      969646970 |
|  125 | ~maria-captains/maria/10.1                        | 10.1                                  |      969649882 |
|  126 | ~maria-captains/maria/10.1                        | 10.1                                  |      969650881 |
|  127 | ~maria-captains/maria/10.1                        | 10.1                                  |      969660339 |
|  128 | ~maria-captains/maria/10.1                        | 10.1                                  |      969677463 |
|  129 | ~maria-captains/maria/10.1                        | 10.1                                  |      969909975 |
|  130 | ~maria-captains/maria/10.1                        | 10.1                                  |      969991262 |
|  131 | ~maria-captains/maria/10.1                        | 10.1                                  |      970007298 |
|  132 | ~maria-captains/maria/10.1                        | 10.1                                  |      970038348 |
|  133 | ~maria-captains/maria/10.1                        | 10.1                                  |      970038632 |
|  134 | ~maria-captains/maria/10.1                        | 10.1                                  |      970044481 |
|  135 | ~maria-captains/maria/10.1                        | 10.1                                  |      970044661 |
|  136 | ~maria-captains/maria/10.1                        | 10.1                                  |      970086782 |
|  137 | ~maria-captains/maria/10.1                        | 10.1                                  |      970094442 |
|  138 | ~maria-captains/maria/10.1                        | 10.1                                  |      970125340 |
|  139 | ~maria-captains/maria/10.1                        | 10.1                                  |      970127019 |
|  140 | ~maria-captains/maria/10.1                        | 10.1                                  |      970127814 |
|  141 | ~maria-captains/maria/10.1                        | 10.1                                  |      970178365 |
|  142 | ~maria-captains/maria/10.1                        | 10.1                                  |      970257294 |
|  143 | ~maria-captains/maria/10.1                        | 10.1                                  |      970257349 |
|  144 | ~maria-captains/maria/10.1                        | 10.1                                  |      970269673 |
|  145 | ~maria-captains/maria/10.1                        | 10.1                                  |      970363780 |
|  146 | ~maria-captains/maria/10.1                        | 10.1                                  |      970457189 |
|  147 | ~maria-captains/maria/10.1                        | 10.1                                  |      970457301 |
|  148 | ~maria-captains/maria/10.1                        | 10.1                                  |      970462356 |
|  149 | ~maria-captains/maria/10.1                        | 10.1                                  |      970530540 |
|  150 | ~maria-captains/maria/10.1                        | 10.1                                  |      970531191 |
|  151 | ~maria-captains/maria/10.1                        | 10.1                                  |      970595920 |
|  152 | ~maria-captains/maria/10.1                        | 10.1                                  |      970624477 |
|  153 | ~maria-captains/maria/10.1                        | 10.1                                  |      970643131 |
|  154 | ~maria-captains/maria/10.1                        | 10.1                                  |      970673191 |
|  155 | ~maria-captains/maria/10.1                        | 10.1                                  |      970679279 |
|  156 | ~maria-captains/maria/10.1                        | 10.1                                  |      970919987 |
|  157 | ~maria-captains/maria/10.1                        | 10.1                                  |      970920345 |
|  158 | ~maria-captains/maria/10.1                        | 10.1                                  |      970981798 |
|  159 | ~maria-captains/maria/10.1                        | 10.1                                  |      970991399 |
|  160 | ~maria-captains/maria/10.1                        | 10.1                                  |      971042574 |
|  161 | ~maria-captains/maria/10.1                        | 10.1                                  |      971069050 |
|  162 | ~maria-captains/maria/10.1                        | 10.1                                  |      971089011 |
|  163 | ~maria-captains/maria/10.1                        | 10.1                                  |      971114963 |
|  164 | ~maria-captains/maria/10.1                        | 10.1                                  |      971122797 |
|  165 | ~maria-captains/maria/10.1                        | 10.1                                  |      971126907 |
|  166 | ~maria-captains/maria/10.1                        | 10.1                                  |      971127495 |
|  167 | ~maria-captains/maria/10.1                        | 10.1                                  |      971131501 |
|  168 | ~maria-captains/maria/10.1                        | 10.1                                  |      971135590 |
|  169 | ~maria-captains/maria/10.1                        | 10.1                                  |      971136659 |
|  170 | ~maria-captains/maria/10.1                        | 10.1                                  |      971167327 |
|  171 | ~maria-captains/maria/10.1                        | 10.1                                  |      971169306 |
|  172 | ~maria-captains/maria/10.1                        | 10.1                                  |      971193872 |
|  173 | ~maria-captains/maria/10.1                        | 10.1                                  |      971201111 |
|  174 | ~maria-captains/maria/10.1                        | 10.1                                  |      971216283 |
|  175 | ~maria-captains/maria/10.1                        | 10.1                                  |      971228187 |
|  176 | ~maria-captains/maria/10.1                        | 10.1                                  |      971247135 |
|  177 | ~maria-captains/maria/10.1                        | 10.1                                  |      971266864 |
|  178 | ~maria-captains/maria/10.1                        | 10.1                                  |      971272469 |
|  179 | ~maria-captains/maria/10.1                        | 10.1                                  |      971305318 |
|  180 | ~maria-captains/maria/10.1                        | 10.1                                  |      971307212 |
|  181 | ~maria-captains/maria/10.1                        | 10.1                                  |      971307510 |
|  182 | ~maria-captains/maria/10.1                        | 10.1                                  |      971323568 |
|  183 | ~maria-captains/maria/10.1                        | 10.1                                  |      971326816 |
|  184 | ~maria-captains/maria/10.1                        | 10.1                                  |      971327216 |
|  185 | ~maria-captains/maria/10.1                        | 10.1                                  |      971358679 |
|  186 | ~maria-captains/maria/10.1                        | 10.1                                  |      971414135 |
|  187 | ~maria-captains/maria/10.1                        | 10.1                                  |      971423176 |
|  188 | ~maria-captains/maria/10.1                        | 10.1                                  |      971423208 |
|  189 | ~maria-captains/maria/10.1                        | 10.1                                  |      971423418 |
|  190 | ~maria-captains/maria/10.1                        | 10.1                                  |      971434196 |
|  191 | ~maria-captains/maria/10.1                        | 10.1                                  |      971439279 |
|  192 | ~maria-captains/maria/10.1                        | 10.1                                  |      971439485 |
|  193 | ~maria-captains/maria/10.1                        | 10.1                                  |      971458432 |
|  194 | ~maria-captains/maria/10.1                        | 10.1                                  |      971475951 |
|  195 | ~maria-captains/maria/10.1                        | 10.1                                  |      971482800 |
|  196 | ~maria-captains/maria/10.1                        | 10.1                                  |      971511377 |
|  197 | ~maria-captains/maria/10.1                        | 10.1                                  |      971624753 |
|  198 | ~maria-captains/maria/10.1                        | 10.1                                  |      971652588 |
|  199 | ~maria-captains/maria/10.1                        | 10.1                                  |      971710334 |
|  200 | ~maria-captains/maria/10.1                        | 10.1                                  |      971723188 |
|  201 | ~maria-captains/maria/10.1                        | 10.1                                  |      971793763 |
|  202 | ~maria-captains/maria/10.1                        | 10.1                                  |      971820260 |
|  203 | ~maria-captains/maria/10.1                        | 10.1                                  |      971874347 |
|  204 | ~maria-captains/maria/10.1                        | 10.1                                  |      971891822 |
|  205 | ~maria-captains/maria/10.1                        | 10.1                                  |      971891886 |
|  206 | ~maria-captains/maria/10.1                        | 10.1                                  |      971910331 |
|  207 | ~maria-captains/maria/10.1                        | 10.1                                  |      971912715 |
|  208 | ~maria-captains/maria/10.1                        | 10.1                                  |      971915195 |
|  209 | ~maria-captains/maria/10.1                        | 10.1                                  |      971915529 |
|  210 | ~maria-captains/maria/10.1                        | 10.1                                  |      971916638 |
|  211 | ~maria-captains/maria/10.1                        | 10.1                                  |      971917416 |
|  212 | ~maria-captains/maria/10.1                        | 10.1                                  |      971917824 |
|  213 | ~maria-captains/maria/10.1                        | 10.1                                  |      971918465 |
|  214 | ~maria-captains/maria/10.1                        | 10.1                                  |      971924369 |
|  215 | ~maria-captains/maria/10.1                        | 10.1                                  |      971978062 |
|  216 | ~maria-captains/maria/10.1                        | 10.1                                  |      971985473 |
|  217 | ~maria-captains/maria/10.1                        | 10.1                                  |      971992870 |
|  218 | ~maria-captains/maria/10.1                        | 10.1                                  |      971993538 |
|  219 | ~maria-captains/maria/10.1                        | 10.1                                  |      972001407 |
|  220 | ~maria-captains/maria/10.1                        | 10.1                                  |      972428279 |
|  221 | ~maria-captains/maria/10.1                        | 10.1                                  |      972428406 |
|  222 | ~maria-captains/maria/10.1                        | 10.1                                  |      972497487 |
|  223 | ~maria-captains/maria/10.1                        | 10.1                                  |      972619915 |
|  224 | ~maria-captains/maria/10.1                        | 10.1                                  |      972665034 |
|  225 | ~maria-captains/maria/10.1                        | 10.1                                  |      972665386 |
|  226 | ~maria-captains/maria/10.1                        | 10.1                                  |      972667754 |
|  227 | ~maria-captains/maria/10.1                        | 10.1                                  |      972765508 |
|  228 | ~maria-captains/maria/10.1                        | 10.1                                  |      972797208 |
|  229 | ~maria-captains/maria/10.1                        | 10.1                                  |      973260273 |
|  230 | ~maria-captains/maria/10.1                        | 10.1                                  |      973305082 |
|  231 | ~maria-captains/maria/10.1                        | 10.1                                  |      973371487 |
|  232 | ~maria-captains/maria/10.1                        | 10.1                                  |      973394482 |
|  233 | ~maria-captains/maria/10.1                        | 10.1                                  |      973396841 |
|  234 | ~maria-captains/maria/10.1                        | 10.1                                  |      973527220 |
|  235 | ~maria-captains/maria/10.1                        | 10.1                                  |      973531399 |
|  236 | ~maria-captains/maria/10.1                        | 10.1                                  |      973564941 |
|  237 | ~maria-captains/maria/10.1                        | 10.1                                  |      973576404 |
|  238 | ~maria-captains/maria/10.1                        | 10.1                                  |      973579963 |
|  239 | ~maria-captains/maria/10.1                        | 10.1                                  |      973606727 |
|  240 | ~maria-captains/maria/10.1                        | 10.1                                  |      973736109 |
|  241 | ~maria-captains/maria/10.1                        | 10.1                                  |      973848781 |
|  242 | ~maria-captains/maria/10.1                        | 10.1                                  |      973876683 |
|  243 | ~maria-captains/maria/10.1                        | 10.1                                  |      973980927 |
|  244 | ~maria-captains/maria/10.1                        | 10.1                                  |      974006843 |
|  245 | ~maria-captains/maria/10.1                        | 10.1                                  |      974096790 |
|  246 | ~maria-captains/maria/10.1                        | 10.1                                  |      974127215 |
|  247 | ~maria-captains/maria/10.1                        | 10.1                                  |      974184182 |
|  248 | ~maria-captains/maria/10.1                        | 10.1                                  |      974329931 |
|  249 | ~maria-captains/maria/10.1                        | 10.1                                  |      974339939 |
|  250 | ~maria-captains/maria/10.1                        | 10.1                                  |      974396250 |
|  251 | ~maria-captains/maria/10.1                        | 10.1                                  |      974396281 |
|  252 | ~maria-captains/maria/10.1                        | 10.1                                  |      974400952 |
|  253 | ~maria-captains/maria/10.1                        | 10.1                                  |      974421406 |
|  254 | ~maria-captains/maria/10.1                        | 10.1                                  |      974421669 |
|  255 | ~maria-captains/maria/10.1                        | 10.1                                  |      974422402 |
|  256 | ~maria-captains/maria/10.1                        | 10.1                                  |      974440790 |
|  257 | ~maria-captains/maria/10.1                        | 10.1                                  |      974440818 |
|  258 | ~maria-captains/maria/10.1                        | 10.1                                  |      974464766 |
|  259 | ~maria-captains/maria/10.1                        | 10.1                                  |      974489807 |
|  260 | ~maria-captains/maria/10.1                        | 10.1                                  |      974490860 |
|  261 | ~maria-captains/maria/10.1                        | 10.1                                  |      974545516 |
|  262 | ~maria-captains/maria/10.1                        | 10.1                                  |      974546726 |
|  263 | ~maria-captains/maria/10.1                        | 10.1                                  |      974561852 |
|  264 | ~maria-captains/maria/10.1                        | 10.1                                  |      974582028 |
|  265 | ~maria-captains/maria/10.1                        | 10.1                                  |      974597784 |
