MariaDB [kokiri_apr23]> select cast(revision as integer) rev,repository,branch from changes where length(revision) < 6 group by 1;
+------+---------------------------------------------------+---------------------------------------+
| rev  | repository                                        | branch                                |
|  129 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  130 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  131 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  132 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  133 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  134 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  135 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  136 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  137 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  138 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  139 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  140 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  141 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  142 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  143 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  144 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  145 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  146 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  147 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  148 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  149 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  150 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  151 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  152 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  153 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  154 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  155 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  156 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  157 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  158 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  159 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  160 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  161 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  162 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  163 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  164 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  165 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  166 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  167 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  168 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  169 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  170 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  171 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  172 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  173 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  174 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  175 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  176 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  177 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  178 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  179 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  180 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  181 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  182 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  183 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  184 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  185 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  186 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  187 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  188 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  189 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  190 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  191 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  192 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  193 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  194 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  195 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  196 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  197 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  198 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  199 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  200 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  201 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  202 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  203 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  204 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  205 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  206 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  207 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  208 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  209 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  210 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  211 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  212 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  213 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  214 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  215 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  216 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  217 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  218 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  219 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  220 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  221 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  222 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  223 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  224 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  225 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  226 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  227 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  228 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  229 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  230 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  231 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  232 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  233 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  234 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  235 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  236 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  237 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  238 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  239 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  240 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  241 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  242 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  243 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  244 | ~maria-captains/maria/10.1                        | 10.1                                  |
